"X","State.Code","County.Code","Site.Num","Parameter.Code","POC","Latitude","Longitude","Datum","Parameter.Name","Date.Local","Time.Local","Date.GMT","Time.GMT","Sample.Measurement","Units.of.Measure","MDL","Uncertainty","Qualifier","Method.Type","Method.Code","Method.Name","State.Name","County.Name","Date.of.Last.Change"
4472,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","06:00","2022-01-03","14:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4473,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","07:00","2022-01-03","15:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4474,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","08:00","2022-01-03","16:00",0.004,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4475,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","09:00","2022-01-03","17:00",0.014,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4476,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","10:00","2022-01-03","18:00",0.023,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4477,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","11:00","2022-01-03","19:00",0.025,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4478,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","12:00","2022-01-03","20:00",0.029,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4479,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","13:00","2022-01-03","21:00",0.033,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4480,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","14:00","2022-01-03","22:00",0.032,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4481,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","15:00","2022-01-03","23:00",0.035,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4482,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","16:00","2022-01-04","00:00",0.035,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4483,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","17:00","2022-01-04","01:00",0.034,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4484,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","18:00","2022-01-04","02:00",0.035,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4485,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","19:00","2022-01-04","03:00",0.036,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4486,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-03","20:00","2022-01-04","04:00",0.034,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
